Car Name,Specs,Price
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:16,087 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$62,253"
Used 2014 Ford Mustang Shelby GT500 Convertible,"Mileage:4,150 milesMPG:15city /24hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 5.8 LTransmission:Manual","Price:$111,950"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:10,117 milesMPG:15city /24hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$64,900"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:18,279 milesMPG:12city /18hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$79,929"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:45,170 milesMPG:12city /18hwyColor:GreenBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$72,588"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:16,436 milesMPG:12city /18hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$81,190"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:2,881 milesMPG:12city /18hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$95,500"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:31,299 milesMPG:12city /18hwyBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$78,900"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:17,716 milesMPG:12city /18hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$79,950"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:22,974 milesMPG:12city /18hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$66,991"
Used 2020 Ford Mustang Shelby GT500 Coupe,"Mileage:2,780 milesMPG:12city /18hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Automatic","Price:$88,992"
